asset_id,asset,asset_kind,explicit_indoor,area,nearest_option,nearest_option_distance_m,reason_bucket,same_number_pole_exists,same_number_pole,same_number_option_distance_m
AUTO-0002D97A4D42283ED2190BB7,C-025-Fix Dome,Kamera CCTV,True,FT PENGAPON - SEMARANG,T-TOWER,7.102,Opsi >5–10 m,False,,
AUTO-0014668B28E81208A7B7A0D7,C-040,Kamera CCTV,False,FT PENGAPON - SEMARANG,T-016,11.506,Opsi >10–25 m,False,,
AUTO-001CEDB534B19BAE0252E67A,C-032,Kamera CCTV,False,FT MAOS,,,Tidak ada opsi ≤25 m,False,,
AUTO-01709548BF85D1A84ABBE57E,BC-012,Kamera CCTV,False,DPPU YIA,T-001,8.409,Opsi >5–10 m,False,,
AUTO-01769E8770EF645794C76893,C-025-PTZ Tower,Kamera CCTV,False,FT CILACAP,T-002,12.96,Opsi >10–25 m,False,,
AUTO-01F5FB490E4855D1545DD088,C-031,Kamera CCTV,False,ITC LPG CILACAP,T-008,9.781,Opsi >5–10 m,False,,
AUTO-0336B8563D55D3CA27A4F59A,JB-CCTV-11-WP,Junction box,False,DPPU YIA,,,Tidak ada opsi ≤25 m,False,,
AUTO-040ED4D18120CCEF21D9EF3E,C.014,Kamera CCTV,False,FT CILACAP,T-009,6.567,Opsi >5–10 m,True,T-014,
AUTO-04C641AA139FCA63A1D8EB64,C-005-Fix Geser Arah,Kamera CCTV,False,FT MAOS,,,Tidak ada opsi ≤25 m,True,T-005,
AUTO-052C5C2AB16AED71F9EE1234,C-029- Dome,Kamera CCTV,True,FT REWULU,,,Tidak ada opsi ≤25 m,False,,
AUTO-054346553F7DA704F602D940,C-062,Kamera CCTV,False,FT LOMANIS,T-012,8.547,Opsi >5–10 m,False,,
AUTO-06305BCAFB6544522BF83714,C-024- Dome,Kamera CCTV,True,FT REWULU,T-014,22.917,Opsi >10–25 m,False,,
AUTO-06344E7E44DC2FF466D1652D,C-031,Kamera CCTV,False,FT MAOS,,,Tidak ada opsi ≤25 m,False,,
AUTO-0647C24E07C584EB1DE4F746,C-33-EXP,Kamera CCTV,False,FT Tegal Baru,,,Tidak ada opsi ≤25 m,False,,
AUTO-067CB166262B06A0F0A69CB3,C-052,Kamera CCTV,False,FT REWULU,T-017,9.868,Opsi >5–10 m,False,,
AUTO-08C216CF0820E16DB3B74D60,DC-048,Kamera CCTV,True,DPPU YIA,T-016,13.742,Opsi >10–25 m,False,,
AUTO-08F61A58B8893AB23C8071CB,JB00.2,Junction box,False,FT MAOS,,,Tidak ada opsi ≤25 m,False,,
AUTO-08F647DD4E1C6D9B0BFAF7F8,C-027-Fix,Kamera CCTV,False,FT MAOS,T-005,6.674,Opsi >5–10 m,False,,
AUTO-0A527BDE8DEEFBFFC0D5E455,C-048,Kamera CCTV,False,FT REWULU,,,Tidak ada opsi ≤25 m,False,,
AUTO-0A5D56D885C36A632F51690A,C-031,Kamera CCTV,False,FT PENGAPON - SEMARANG,T-007,14.269,Opsi >10–25 m,False,,
AUTO-0DE6B5A3E62B95246065D2FF,C-16,Kamera CCTV,False,FT Tegal Baru,,,Tidak ada opsi ≤25 m,True,T-16,
AUTO-0DF70714DE19B85CBC1BC4E8,C-026-Fix Dome,Kamera CCTV,True,FT PENGAPON - SEMARANG,T-TOWER,24.148,Opsi >10–25 m,False,,
AUTO-0EB2878FD01C085C44ED628F,C-036,Kamera CCTV,False,ITC LPG CILACAP,T-011,5.837,Opsi >5–10 m,False,,
AUTO-0EDC925EF3EEABF66395B6A7,C-018,Kamera CCTV,False,FT LOMANIS,T-014,6.065,Opsi >5–10 m,True,T-018,
AUTO-0F58A310A254341BFB5AA8BC,BC-029,Kamera CCTV,False,DPPU YIA,T-014,5.35,Opsi >5–10 m,False,,
AUTO-0F8B881B6A467A9705B80FF2,C-036,Kamera CCTV,True,FT LOMANIS,,,Tidak ada opsi ≤25 m,False,,
AUTO-10ED6987A80636613B2815C7,JB-01.4,Junction box,False,ITC LPG CILACAP,T-001,17.768,Opsi >10–25 m,True,T-001,17.768
AUTO-123F1682831E84CD71186EB0,BC-036,Kamera CCTV,False,DPPU YIA,T-009,6.222,Opsi >5–10 m,False,,
AUTO-1363E4E86CDECF8383AB2C50,C-060,Kamera CCTV,True,FT LOMANIS,,,Tidak ada opsi ≤25 m,False,,
AUTO-13EA6A70D7878E8BF84DB792,C-021-Fix,Kamera CCTV,False,FT MAOS,T-012,12.492,Opsi >10–25 m,False,,
AUTO-1436406B1AB9F9CC4F4B77FA,C-028- Dome,Kamera CCTV,True,FT REWULU,T-014,17.751,Opsi >10–25 m,False,,
AUTO-1448432A1F4C63C514072172,C-012,Kamera CCTV,False,ITC LPG CILACAP,T-005,22.29,Opsi >10–25 m,True,T-012,
AUTO-144BAAB1510D0700B23C0410,C-016-Fix,Kamera CCTV,False,FT REWULU,T-009,9.125,Opsi >5–10 m,True,T-016,
AUTO-1536EA57DD4C5FAEE13BCC64,C-070,Kamera CCTV,False,FT LOMANIS,T-023,5.934,Opsi >5–10 m,False,,
AUTO-1560497BB55C6C6B1A72ADAC,C-020,Kamera CCTV,False,ITC LPG CILACAP,T-014,11.577,Opsi >10–25 m,False,,
AUTO-15A935D1BF48A7EEECC313D9,C-033,Kamera CCTV,False,ITC LPG CILACAP,T-010,5.939,Opsi >5–10 m,False,,
AUTO-1627929034B736959A152EB8,DC-024,Kamera CCTV,True,DPPU YIA,,,Tidak ada opsi ≤25 m,False,,
AUTO-169B39C939F4E07537718565,C-039,Kamera CCTV,False,FT PENGAPON - SEMARANG,T-012,9.481,Opsi >5–10 m,False,,
AUTO-17BC16FF613A346DB69ED96E,JB-09.1,Junction box,False,FT Tegal Baru,,,Tidak ada opsi ≤25 m,True,T-09,
AUTO-17BF1DA50A94EED563491666,C-033,Kamera CCTV,False,FT REWULU,T-018,6.643,Opsi >5–10 m,False,,
AUTO-18276AE38D46C41414EAE055,JB-006-exp,Junction box,False,ITC LPG CILACAP,,,Tidak ada opsi ≤25 m,True,T-006,
AUTO-1A253A12E813162FE8C7EE42,C-006-Fix,Kamera CCTV,False,FT MAOS,,,Tidak ada opsi ≤25 m,True,T-006,
AUTO-1B287F79B5CFB558949B95D4,JB-019,Junction box,False,FT PENGAPON - SEMARANG,,,Tidak ada opsi ≤25 m,True,T-019,
AUTO-1CBD02384681E975CBE582E2,C-029,Kamera CCTV,False,FT PENGAPON - SEMARANG,T-002,9.33,Opsi >5–10 m,False,,
AUTO-1CFFB30505E2B39F4A4C55E7,C-029,Kamera CCTV,False,ITC LPG CILACAP,,,Tidak ada opsi ≤25 m,False,,
AUTO-1D697969225EC0AB6ED9B796,C-009-Fix,Kamera CCTV,False,FT MAOS,,,Tidak ada opsi ≤25 m,True,T-009,
AUTO-1DF0C07C621B374A0823B182,JB-02,Junction box,False,Booster Kutawinangun,,,Tidak ada opsi ≤25 m,True,T-02,
AUTO-1F53821C95E969E495C310E1,JB-10.1,Junction box,False,FT Tegal Baru,,,Tidak ada opsi ≤25 m,True,T-10,
